area,country,平均值 pig_price,纬度(生成),经度(生成)
浙江,中国,21.42811335,29.1938,119.7808
福建,中国,21.12426072,25.9843,118.035
广东,中国,20.92562301,22.8962,112.4196
四川,中国,20.68330523,30.2696,102.2976
上海,中国,19.87390388,31.1015,121.3701
海南,中国,19.55226812,19.1638,109.6305
江苏,中国,19.43454995,32.9714,119.5828
江西,中国,19.18800473,27.3189,115.4924
广西,中国,18.99620152,23.9155,108.9991
贵州,中国,18.9910139,26.9463,106.6586
山东,中国,18.83932228,36.3464,118.0429
湖北,中国,18.70550624,31.1761,112.8612
重庆,中国,18.61405348,30.2037,107.8789
安徽,中国,18.53474352,32.061,117.1516
甘肃,中国,18.48380739,37.8668,102.2829
北京,中国,18.47134229,40.2554,116.6397
湖南,中国,18.39744912,27.4176,111.3884
陕西,中国,18.38371578,35.7434,109.5496
天津,中国,18.26806736,39.4079,117.3391
河北,中国,18.17878043,39.4094,115.652
河南,中国,18.15832269,33.9126,113.0925
山西,中国,17.6327107,37.7257,112.3455
吉林,中国,17.29842212,43.6442,126.1692
辽宁,中国,17.20967744,41.1486,122.451
内蒙古,中国,17.19240708,45.9377,119.0298
黑龙江,中国,16.94267143,48.7465,127.6013
新疆,中国,16.62734522,42.1974,88.1541
云南,中国,16.51753519,25.2644,101.3868
