date,price,bd_zrjg,wb_zjsz,time
2018/8/5,13.46773573,1695,26,1
2018/8/12,13.79454613,1824,42,2
2018/8/19,13.88017871,1758,32,3
2018/8/26,13.5753943,1678,117,4
2018/9/2,13.56919721,1344,39,5
2018/9/9,14.2463707,1423,53,6
2018/9/16,14.2484364,1470,24,7
2018/9/23,14.10364972,1329,30,8
2018/9/30,13.84149382,1203,14,9
2018/10/7,13.79548508,1079,18,10
2018/10/14,13.92581187,1200,31,11
2018/10/21,13.68769318,1181,11,12
2018/10/28,13.65257631,1143,19,13
2018/11/4,13.55454953,1108,34,14
2018/11/11,13.58140361,1119,23,15
2018/11/18,13.38516226,1153,21,16
2018/11/25,13.14009531,1191,40,17
2018/12/2,13.30009304,1167,25,18
2018/12/9,13.50741405,1251,14,19
2018/12/16,13.29239362,1198,24,20
2018/12/23,13.03042551,1253,10,21
2018/12/30,12.97465165,1442,14,22
2019/1/6,12.96601328,1209,22,23
2019/1/13,12.54723987,1286,19,24
2019/1/20,11.61654885,1377,8,25
2019/1/27,11.10237774,1491,28,26
2019/2/3,11.16378532,1271,20,27
2019/2/10,11.49016567,903,33,28
2019/2/17,12.31475491,1229,15,29
2019/2/24,12.20245603,1221,126,30
2019/3/3,11.99494724,1190,15,31
2019/3/10,13.500278,1641,8,32
2019/3/17,14.59096675,1950,38,33
2019/3/24,14.94232327,1557,13,34
2019/3/31,14.80711392,1345,7,35
2019/4/7,14.90814535,1248,17,36
2019/4/14,14.74777204,1347,49,37
2019/4/21,14.43923182,1614,520,38
2019/4/28,14.73594122,1997,95,39
2019/5/5,14.83622149,1550,57,40
2019/5/12,14.89349767,1701,184,41
2019/5/19,14.88129127,1955,239,42
2019/5/26,14.87509418,1699,92,43
2019/6/2,15.10757914,1696,1131,44
2019/6/9,15.60090548,1783,58,45
2019/6/16,15.75019914,1415,46,46
2019/6/23,16.87431465,1835,61,47
2019/6/30,17.11600136,1510,85,48
2019/7/7,17.08989844,1268,298,49
2019/7/14,18.10096392,1471,72,50
2019/7/21,18.7967287,1672,75,51
2019/7/28,19.00423749,1665,161,52
2019/8/4,19.36310564,1939,105,53
2019/8/11,21.17397197,3343,255,54
2019/8/18,23.07291218,6056,557,55
2019/8/25,24.56528537,13047,1103,56
2019/9/1,26.23868887,16495,1911,57
2019/9/8,26.88731817,15967,3194,58
2019/9/15,27.54721491,8860,2794,59
2019/9/22,27.84167083,6262,1240,60
2019/9/29,28.04974299,5165,1603,61
2019/10/6,28.60973505,3386,900,62
2019/10/13,33.32816578,6730,779,63
2019/10/20,35.71273289,8745,1904,64
2019/10/27,39.77596165,16764,3264,65
2019/11/3,39.63079939,20896,6005,66
2019/11/10,38.57447634,16155,5313,67
2019/11/17,34.47556734,11115,3315,68
2019/11/24,32.5550312,7312,2446,69
2019/12/1,32.37606661,4695,2028,70
2019/12/8,34.79406048,4232,1327,71
2019/12/15,33.87973855,3973,1946,72
