date,price,count,price_diff,count_diff,time,
2018/7/30,12.99,1,0.1,0,1,
2018/7/31,13.09,1,0.15,1,2,
2018/8/1,13.24,2,0.3,2,3,
2018/8/2,13.54102859,4,0.27,7,4,
2018/8/3,13.80787927,11,0.02,-6,5,
2018/8/4,13.83154091,5,-0.06,-3,6,
2018/8/5,13.77370135,2,-0.03,3,7,26
2018/8/6,13.73952343,5,-0.02,-2,8,30
2018/8/7,13.71849087,3,0,17,9,32
2018/8/8,13.7198054,20,0.01,-15,10,50
2018/8/9,13.73426529,5,0.06,-1,11,51
2018/8/10,13.79341938,4,0.11,-2,12,44
2018/8/11,13.90384035,2,0.05,1,13,41
2018/8/12,13.95247816,3,0.04,3,14,42
2018/8/13,13.99191422,6,-0.01,-3,15,43
2018/8/14,13.98534154,3,0.01,0,16,43
2018/8/15,13.99059968,3,-0.03,5,17,26
2018/8/16,13.95905083,8,-0.1,-4,18,29
2018/8/17,13.86046068,4,-0.12,-3,19,29
2018/8/18,13.74478157,1,-0.12,6,20,28
2018/8/19,13.62910246,7,-0.02,-5,21,32
2018/8/20,13.6120135,2,-0.03,7,22,28
2018/8/21,13.5857228,9,-0.02,-4,23,34
2018/8/22,13.5673193,5,0.02,15,24,36
2018/8/23,13.58309373,20,-0.01,27,25,48
2018/8/24,13.57520651,47,-0.02,-22,26,91
2018/8/25,13.55943209,25,-0.01,-16,27,115
2018/8/26,13.5449722,9,-0.04,-5,28,117
2018/8/27,13.50947975,4,-0.01,0,29,119
2018/8/28,13.49501986,4,0,0,30,114
2018/8/29,13.49764893,4,0.01,3,31,113
2018/8/30,13.50816521,7,0.04,0,32,100
2018/8/31,13.54891581,7,0.11,3,33,60
2018/9/1,13.66196585,10,0.1,-7,34,45
2018/9/2,13.76318507,3,0.17,4,35,39
2018/9/3,13.93144559,7,0.12,4,36,42
2018/9/4,14.05369738,11,0.14,-3,37,49
2018/9/5,14.19303813,8,0.14,-4,38,53
2018/9/6,14.33369341,4,0.06,6,39,50
2018/9/7,14.39547657,10,0,-2,40,53
2018/9/8,14.39416203,8,0.03,-3,41,51
2018/9/9,14.42308181,5,0.03,1,42,53
2018/9/10,14.44937252,6,-0.05,-2,43,52
2018/9/11,14.3967911,4,-0.09,-3,44,45
2018/9/12,14.30871724,1,-0.05,3,45,38
2018/9/13,14.26007943,4,-0.07,0,46,38
2018/9/14,14.18777998,4,-0.1,-2,47,32
2018/9/15,14.08918983,2,-0.04,1,48,26
2018/9/16,14.0471247,3,-0.01,0,49,24
2018/9/17,14.03266481,3,0.06,4,50,21
2018/9/18,14.09707705,7,0.05,3,51,24
2018/9/19,14.14440032,10,-0.02,-7,52,33
2018/9/20,14.12862589,3,0,0,53,32
2018/9/21,14.1325695,3,-0.02,0,54,31
2018/9/22,14.1102224,3,-0.03,-2,55,32
2018/9/23,14.07998809,1,-0.03,0,56,30
2018/9/24,14.0471247,1,-0.07,1,57,28
2018/9/25,13.97745433,2,-0.05,0,58,23
2018/9/26,13.92355838,2,-0.11,1,59,15
2018/9/27,13.81182288,3,-0.07,0,60,15
2018/9/28,13.74083797,3,-0.04,-1,61,15
2018/9/29,13.70271644,2,-0.02,-1,62,14
2018/9/30,13.68694202,1,0.03,0,63,14
2018/10/1,13.7198054,1,0.03,2,64,14
2018/10/2,13.75266878,3,0.03,4,65,15
2018/10/3,13.78421763,7,0.03,-6,66,20
2018/10/4,13.81576648,1,0.01,2,67,18
2018/10/5,13.8275973,3,0.01,-2,68,18
2018/10/6,13.83548451,1,0,1,69,17
2018/10/7,13.83285544,2,0.03,4,70,18
2018/10/8,13.86308975,6,0.03,-1,71,23
2018/10/9,13.89200953,5,0.06,-1,72,25
2018/10/10,13.94722002,4,0.02,4,73,22
2018/10/11,13.96562351,8,0.02,-5,74,29
2018/10/12,13.98534154,3,-0.03,1,75,29
2018/10/13,13.95510723,4,-0.08,-3,76,32
2018/10/14,13.8722915,1,-0.09,1,77,31
2018/10/15,13.7868467,2,-0.02,-1,78,27
2018/10/16,13.76187053,1,-0.02,1,79,23
2018/10/17,13.74083797,2,-0.04,-1,80,21
2018/10/18,13.70008737,1,-0.04,2,81,14
2018/10/19,13.66196585,3,-0.06,-2,82,14
2018/10/20,13.60149722,1,-0.04,0,83,11
2018/10/21,13.56074662,1,-0.04,8,84,11
2018/10/22,13.5226251,9,0.14,-7,85,18
2018/10/23,13.65933678,2,0.05,0,86,19
2018/10/24,13.70797458,2,0,-1,87,19
2018/10/25,13.70928912,1,-0.02,2,88,19
2018/10/26,13.68562748,3,-0.01,-2,89,19
2018/10/27,13.67248213,1,-0.06,0,90,19
2018/10/28,13.61069897,1,-0.01,2,91,19
2018/10/29,13.59623908,3,0,9,92,13
2018/10/30,13.59755361,12,-0.05,-11,93,23
2018/10/31,13.54891581,1,0,2,94,22
2018/11/1,13.5449722,3,-0.01,1,95,24
2018/11/2,13.53314138,4,-0.01,-1,96,25
2018/11/3,13.5226251,3,0.02,5,97,27
2018/11/4,13.53839952,8,-0.01,-6,98,34
2018/11/5,13.53051231,2,0.06,-1,99,33
2018/11/6,13.58703733,1,0.01,3,100,22
2018/11/7,13.59755361,4,0.02,-1,101,25
2018/11/8,13.61332804,3,-0.02,-2,102,25
2018/11/9,13.59755361,1,-0.01,4,103,22
2018/11/10,13.58703733,5,-0.03,2,104,24
2018/11/11,13.55680302,7,-0.08,-1,105,23
2018/11/12,13.48055997,6,-0.02,-3,106,27
2018/11/13,13.45689833,3,-0.04,-1,107,29
2018/11/14,13.41351867,2,-0.02,0,108,27
2018/11/15,13.3924861,2,-0.02,0,109,26
2018/11/16,13.37408261,2,-0.06,2,110,27
2018/11/17,13.30967037,4,-0.04,-2,111,26
2018/11/18,13.26891978,2,-0.06,5,112,21
2018/11/19,13.21108022,7,-0.06,-1,113,22
2018/11/20,13.15586974,6,-0.03,-4,114,25
2018/11/21,13.12563542,2,0,1,115,25
2018/11/22,13.12169182,3,0,4,116,26
2018/11/23,13.12300635,7,-0.01,-2,117,31
2018/11/24,13.11249007,5,0.02,5,118,32
2018/11/25,13.13089357,10,0.01,0,119,40
2018/11/26,13.14009531,10,0.08,-6,120,43
2018/11/27,13.21633836,4,0.07,-1,121,41
2018/11/28,13.28863781,3,0.04,-1,122,42
2018/11/29,13.33201747,2,0.01,2,123,41
2018/11/30,13.34516283,4,0.03,-3,124,38
2018/12/1,13.37408261,1,0.03,0,125,34
2018/12/2,13.40431692,1,0.05,0,126,25
2018/12/3,13.45821287,1,0.04,1,127,16
2018/12/4,13.49896346,2,0.05,1,128,14
2018/12/5,13.5449722,3,0.03,0,129,14
2018/12/6,13.57257744,3,-0.05,-1,130,15
2018/12/7,13.52656871,2,-0.05,-1,131,13
2018/12/8,13.4779309,1,-0.01,1,132,13
2018/12/9,13.47267276,2,-0.05,9,133,14
2018/12/10,13.42666402,11,-0.06,-7,134,24
2018/12/11,13.36750993,4,-0.02,-3,135,26
2018/12/12,13.34384829,1,-0.06,4,136,24
2018/12/13,13.28863781,5,-0.07,-4,137,26
2018/12/14,13.22291104,1,-0.01,0,138,25
2018/12/15,13.21633836,1,-0.04,0,139,25
2018/12/16,13.18084591,1,-0.02,0,140,24
2018/12/17,13.16375695,1,-0.01,1,141,14
2018/12/18,13.15586974,2,-0.03,1,142,12
2018/12/19,13.12694996,3,-0.06,-2,143,14
2018/12/20,13.07042494,1,-0.09,0,144,10
2018/12/21,12.98498014,1,-0.1,0,145,10
2018/12/22,12.88376092,1,-0.06,0,146,10
2018/12/23,12.8272359,1,-0.04,0,147,10
2018/12/24,12.78779984,1,0.01,1,148,10
2018/12/25,12.80094519,2,0.26,1,149,10
2018/12/26,13.06122319,3,0.07,0,150,10
2018/12/27,13.13089357,3,-0.06,0,151,12
2018/12/28,13.07042494,3,-0.09,-2,152,14
2018/12/29,12.98366561,1,0,0,153,14
2018/12/30,12.98760921,1,0.02,3,154,14
2018/12/31,13.00601271,4,0.01,-1,155,17
2019/1/1,13.01127085,3,0.01,6,156,18
2019/1/2,13.02573074,9,-0.02,-8,157,24
2019/1/3,13.00995631,1,-0.03,0,158,22
2019/1/4,12.979722,1,-0.07,0,159,20
2019/1/5,12.91005163,1,-0.09,2,160,20
2019/1/6,12.81934869,3,-0.05,-1,161,22
2019/1/7,12.77071088,2,-0.09,-1,162,20
2019/1/8,12.68395155,1,-0.05,10,163,18
2019/1/9,12.63268467,11,-0.06,-10,164,20
2019/1/10,12.57221604,1,-0.09,0,165,20
2019/1/11,12.48677125,1,-0.09,0,166,20
2019/1/12,12.39869738,1,-0.11,1,167,20
2019/1/13,12.28564734,2,-0.18,-1,168,19
2019/1/14,12.10818507,1,-0.11,0,169,18
2019/1/15,11.99382049,1,-0.18,1,170,18
2019/1/16,11.81504369,2,-0.18,-1,171,9
2019/1/17,11.63626688,1,-0.2,0,172,9
2019/1/18,11.43382844,1,-0.21,0,173,9
2019/1/19,11.22876092,1,-0.13,0,174,9
2019/1/20,11.09993646,1,-0.01,11,175,8
2019/1/21,11.09336378,12,0.07,-6,176,19
2019/1/22,11.16434869,6,0.01,-5,177,24
2019/1/23,11.17486497,1,-0.03,0,178,23
2019/1/24,11.14857427,1,-0.06,0,179,23
2019/1/25,11.0867911,1,-0.06,0,180,23
2019/1/26,11.02632248,1,0,5,181,23
2019/1/27,11.02237887,6,0.02,-5,182,28
2019/1/28,11.03946783,1,0.06,0,183,17
2019/1/29,11.09730739,1,0.05,0,184,12
2019/1/30,11.14857427,1,0,4,185,12
2019/1/31,11.15120334,5,0.04,-1,186,16
2019/2/1,11.18801033,4,0.06,2,187,19
2019/2/2,11.24453535,6,0.03,-4,188,24
2019/2/3,11.27739873,2,0.01,0,189,20
2019/2/4,11.28265687,2,0.01,1,190,21
2019/2/5,11.29185862,3,0.05,0,191,23
2019/2/6,11.3431255,3,0.1,3,192,25
2019/2/7,11.44303018,6,0.11,1,193,26
2019/2/8,11.55476569,7,0.12,1,194,29
2019/2/9,11.67833201,8,0.16,-4,195,31
2019/2/10,11.83739079,4,0.15,-3,196,33
2019/2/11,11.98987689,1,0.14,3,197,32
2019/2/12,12.12921763,4,0.17,-3,198,33
2019/2/13,12.29747816,1,0.12,2,199,31
2019/2/14,12.41315727,3,0.07,-2,200,28
2019/2/15,12.47888403,1,0,3,201,22
2019/2/16,12.48151311,4,-0.07,-3,202,18
2019/2/17,12.41315727,1,-0.06,0,203,15
2019/2/18,12.35663225,1,-0.07,0,204,15
2019/2/19,12.2843328,1,-0.04,2,205,12
2019/2/20,12.24884035,3,-0.05,-2,206,14
2019/2/21,12.20283161,1,-0.04,0,207,12
2019/2/22,12.16076648,1,-0.06,113,208,12
2019/2/23,12.10029786,114,-0.04,-109,209,122
2019/2/24,12.06349087,5,-0.06,-3,210,126
2019/2/25,12.00565131,2,-0.03,-1,211,127
2019/2/26,11.9793606,1,-0.06,3,212,127
2019/2/27,11.92152105,4,0.01,-3,213,128
2019/2/28,11.92677919,1,0.04,2,214,128
2019/3/1,11.96358618,3,0.07,-2,215,130
2019/3/2,12.03588562,1,0.1,2,216,17
2019/3/3,12.1318467,3,0.11,-2,217,15
2019/3/4,12.24226767,1,0.21,1,218,14
2019/3/5,12.45259333,2,0.33,-1,219,15
2019/3/6,12.7825417,1,0.48,0,220,12
2019/3/7,13.26366164,1,0.65,0,221,12
2019/3/8,13.91041303,1,0.84,0,222,10
2019/3/9,14.74645751,1,0.36,0,223,10
2019/3/10,15.10401112,1,-0.13,0,224,8
2019/3/11,14.97387212,1,-0.32,21,225,8
2019/3/12,14.64918189,22,-0.23,-17,226,28
2019/3/13,14.41650913,5,-0.05,-3,227,32
2019/3/14,14.36524226,2,0.04,-1,228,33
2019/3/15,14.40993646,1,0.15,5,229,33
2019/3/16,14.55716442,6,0.21,-5,230,38
2019/3/17,14.764861,1,0.23,2,231,38
2019/3/18,14.99359015,3,0.04,0,232,40
2019/3/19,15.03828435,3,0.02,-2,233,21
2019/3/20,15.06063145,1,-0.08,0,234,17
2019/3/21,14.97913026,1,-0.08,0,235,16
2019/3/22,14.90157268,1,-0.07,0,236,16
2019/3/23,14.83321684,1,-0.04,2,237,11
2019/3/24,14.78983717,3,0,-2,238,13
2019/3/25,14.78589357,1,0,0,239,11
2019/3/26,14.78852264,1,0,0,240,9
2019/3/27,14.79115171,1,0.01,0,241,9
2019/3/28,14.79772438,1,0.01,0,242,9
2019/3/29,14.81086974,1,0.02,0,243,9
2019/3/30,14.83058777,1,0.01,0,244,9
2019/3/31,14.84504766,1,0.03,4,245,7
2019/4/1,14.87922558,5,0.04,-3,246,11
2019/4/2,14.91866164,2,0.04,1,247,12
